"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Alamat","Jl. Mallengkeri Raya No.25, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Plus Codes","RC7J+79 Parang Tambung, Kota Makassar, Sulawesi Selatan"
"JNT Barombong",2.8,46,"Buka ⋅ Tutup Min pukul 06.00","https://www.google.com/maps/place/JNT+Barombong/data=!4m7!3m6!1s0x2dbf1ddb5700c1fb:0x39a4a249ef941bde!8m2!3d-5.2089978!4d119.3884866!16s%2Fg%2F11f3xnt03d!19sChIJ-8EAV9sdvy0R3huU70mipDk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Barombong/@-5.2089978,119.3884866,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddb5700c1fb:0x39a4a249ef941bde!8m2!3d-5.2089978!4d119.3884866!16s%2Fg%2F11f3xnt03d?authuser=0&hl=id&entry=ttu","119.3884866","-5.2089978","Alamat","Q9RQ+C95, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Alamat","VG5C+HC4, Jl. Tamalanrea Raya, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90562"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Situs Web","jet.co.id"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Telepon","0852-4063-1166"
"J&T Express Bintaro",4.4,222,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Bintaro/data=!4m7!3m6!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5!19sChIJyRnj_b76aS4RSJN_sojiuy0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Bintaro/@-6.2854572,106.7025626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5?authuser=0&hl=id&entry=ttu","106.7025626","-6.2854572","Alamat","Blok Hg 10, Jl. Elang Blok Hg 10 No.1, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15229"
"J&T Express Bintaro",4.4,222,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Bintaro/data=!4m7!3m6!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5!19sChIJyRnj_b76aS4RSJN_sojiuy0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Bintaro/@-6.2854572,106.7025626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5?authuser=0&hl=id&entry=ttu","106.7025626","-6.2854572","Situs Web","jet.co.id"
"J&T Express Bintaro",4.4,222,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Bintaro/data=!4m7!3m6!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5!19sChIJyRnj_b76aS4RSJN_sojiuy0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Bintaro/@-6.2854572,106.7025626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5?authuser=0&hl=id&entry=ttu","106.7025626","-6.2854572","Telepon","(021) 22213889"
"J&T Express Bintaro",4.4,222,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Bintaro/data=!4m7!3m6!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5!19sChIJyRnj_b76aS4RSJN_sojiuy0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Bintaro/@-6.2854572,106.7025626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fabefde319c9:0x2dbbe288b27f9348!8m2!3d-6.2854572!4d106.7025626!16s%2Fg%2F11cphhw_x5?authuser=0&hl=id&entry=ttu","106.7025626","-6.2854572","Plus Codes","PP73+R2 Pd. Pucung, Kota Tangerang Selatan, Banten"
